Season,Orange Cap Player,Purple Cap Player
Season 2020,KL Rahul  - 670,Kagiso Rabada - 30
Season 2020,Shikhar Dhawan  - 618,Jasprit Bumrah  - 27
Season 2020,David Warner  - 548,Trent Boult  - 25
Season 2020,Shreyas Iyer  - 519,Anrich Nortje  - 22
Season 2020,Ishan Kishan  - 516,Yuzvendra Chahal  - 21
,,
Season 2021,Ruturaj Gaikwad - 635,Harshal Patel - 32
Season 2021,"
Faf du Plessis - 633","
Avesh Khan - 24"
Season 2021,"
KL Rahul - 626","
Jasprit Bumrah - 21"
Season 2021,"
Shikhar Dhawan - 587","
Shardul Thakur - 21 "
Season 2021,"
Glenn Maxwell - 513","
Mohammad Shami - 19"
,,
Season 2022,Jos Buttler - 863,Yuzvendra Chahal - 27
Season 2022,KL Rahul - 616,"
Wanindu Hasaranga - 26"
Season 2022,Quinton De Kock - 508,Kagiso Rabada - 23
Season 2022,Hardik Pandya - 487,Umran Malik - 22
Season 2022,Shubman Gill - 483,Kuldeep Yadav - 21
